Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
100,1,47,282585,282568,6
100,2,1,282588,282579,11
100,3,4,282570,282575,2
100,4,1,282572,282573,2
100,5,0,282574,282573,2
100,6,1,282587,282571,7
100,7,2,282579,282570,6
100,8,2,282592,282565,2
100,9,1,282611,282599,2
100,10,1,282567,282563,2
100,11,0,282587,282584,6
100,12,2,282566,282601,10
100,13,3,282563,282578,4
100,14,1,282566,282596,14
100,15,4,282607,282565,6
100,16,2,282620,282563,12
100,17,4,282593,282564,2
100,18,1,282588,282605,10
100,19,3,282568,282582,10
100,20,3,282583,282598,2
100,21,1,282592,282580,11
100,22,3,282599,282581,4
100,23,1,282583,282576,2
100,24,0,282583,282572,2
100,25,0,282607,282605,9
100,26,3,282575,282584,11
100,27,3,282577,282576,2
100,28,1,282566,282581,4
100,29,1,282571,282573,2
100,30,0,282569,282563,2
100,31,0,282577,282589,7
100,32,2,282595,282575,11
100,33,3,282590,282574,2
100,34,1,282586,282579,6
100,35,2,282588,282592,10
100,36,3,282572,282582,2
100,37,1,282566,282568,1
100,38,0,282570,282563,2
100,39,0,282595,282565,2
100,40,1,282583,282591,6
100,41,2,282581,282578,2
100,42,1,282580,282613,12
100,43,4,282574,282578,2
100,44,1,282587,282592,12
100,45,4,282590,282594,2
100,46,0,282609,282576,10
100,47,3,282579,282575,2
100,48,1,282600,282575,6
100,49,2,282590,282598,7
100,50,2,282580,282568,2
100,51,1,282567,282583,11
100,52,4,282568,282584,2
100,53,1,282597,282589,9
100,54,3,282585,282585,2
100,55,0,282603,282571,11
100,56,4,282574,282581,12
100,57,4,282570,282569,2
100,58,0,282576,282581,11
100,59,4,282591,282578,10
100,60,3,282586,282572,2
100,61,0,282587,282581,2
100,62,0,282624,282570,14
100,63,4,282572,282577,2
100,64,1,282595,282588,14
100,65,5,282581,282600,14
100,66,5,282573,282561,2
100,67,0,282570,282633,9
100,68,3,282563,282568,2
100,69,0,282598,282582,14
100,70,4,282591,282599,3
100,71,1,282587,282579,2
100,72,0,282580,282594,15
100,73,4,282569,282569,2
100,74,0,282569,282594,11
100,75,3,282572,282572,2
100,76,0,282610,282581,12
100,77,4,282572,282571,2
100,78,1,282592,282572,9
100,79,3,282573,282582,7
100,80,2,282593,282570,6
100,81,2,282611,282605,10
100,82,4,282568,282571,2
100,83,0,282572,282605,15
100,84,5,282582,282576,2
100,85,0,282606,282577,15
100,86,4,282569,282566,2
100,87,0,282610,282575,9
100,88,3,282570,282588,7
100,89,3,282574,282567,2
100,90,0,282568,282599,10
100,91,3,282582,282581,2
100,92,0,282600,282577,2
100,93,1,282582,282577,2
100,94,0,282609,282590,15
100,95,4,282587,282593,2
100,96,1,282586,282579,2
100,97,0,282581,282597,2
100,98,0,282586,282578,2
100,99,1,282595,282575,12
100,100,3,282571,282570,2
200,1,43,565157,565138,3
200,2,6,565203,565178,15
200,3,5,565163,565195,8
200,4,2,565170,565186,14
200,5,4,565149,565168,14
200,6,4,565176,565150,15
200,7,4,565158,565151,10
200,8,3,565152,565138,2
200,9,0,565158,565175,7
200,10,2,565141,565169,3
200,11,1,565164,565170,15
200,12,5,565169,565191,15
200,13,4,565181,565147,16
200,14,5,565175,565153,13
200,15,4,565151,565133,2
200,16,0,565150,565143,15
200,17,4,565167,565197,15
200,18,5,565175,565172,15
200,19,5,565148,565176,12
200,20,4,565151,565162,13
200,21,4,565158,565173,10
200,22,4,565166,565159,14
200,23,5,565192,565146,7
200,24,2,565200,565191,10
200,25,3,565159,565192,3
200,26,1,565175,565175,12
200,27,3,565142,565184,14
200,28,4,565155,565167,8
200,29,4,565157,565142,13
200,30,4,565192,565138,11
200,31,3,565170,565137,3
200,32,1,565174,565163,8
200,33,2,565195,565180,14
200,34,5,565158,565167,7
200,35,2,565144,565154,2
200,36,0,565176,565186,16
200,37,4,565199,565174,9
200,38,3,565183,565143,11
200,39,3,565189,565157,11
200,40,3,565159,565179,14
200,41,4,565137,565182,14
200,42,5,565169,565209,11
200,43,3,565161,565170,8
200,44,3,565173,565162,10
200,45,3,565165,565147,13
200,46,4,565192,565164,3
200,47,1,565185,565136,13
200,48,4,565162,565158,15
200,49,4,565133,565158,7
200,50,2,565150,565151,5
200,51,1,565138,565170,2
200,52,1,565142,565139,6
200,53,2,565156,565150,8
200,54,2,565179,565132,10
200,55,3,565185,565169,13
200,56,4,565171,565187,16
200,57,5,565133,565182,16
200,58,4,565133,565180,7
200,59,2,565139,565169,7
200,60,2,565167,565140,11
200,61,3,565160,565147,14
200,62,4,565169,565137,14
200,63,4,565140,565167,11
200,64,3,565171,565170,12
200,65,4,565161,565168,9
200,66,4,565171,565203,13
200,67,4,565141,565176,13
200,68,4,565194,565145,10
200,69,4,565171,565181,13
200,70,4,565169,565189,11
200,71,4,565144,565151,3
200,72,1,565142,565171,7
200,73,2,565151,565150,3
200,74,1,565183,565156,13
200,75,4,565188,565169,11
200,76,4,565179,565144,6
200,77,2,565167,565150,11
200,78,4,565159,565171,13
200,79,4,565166,565163,12
200,80,4,565140,565156,9
200,81,3,565156,565135,4
200,82,1,565136,565166,11
200,83,3,565190,565142,6
200,84,2,565172,565134,11
200,85,3,565159,565146,6
200,86,2,565191,565200,8
200,87,2,565162,565183,11
200,88,4,565161,565182,11
200,89,4,565145,565164,13
200,90,4,565152,565152,3
200,91,1,565170,565165,15
200,92,4,565182,565147,11
200,93,3,565176,565144,15
200,94,4,565176,565178,15
200,95,5,565163,565211,12
200,96,4,565155,565170,11
200,97,4,565145,565159,7
200,98,2,565152,565157,13
200,99,3,565167,565142,9
200,100,3,565186,565134,15
300,1,18,847770,847762,17
300,2,5,847745,847773,8
300,3,2,847759,847706,7
300,4,2,847780,847753,14
300,5,4,847731,847745,16
300,6,4,847782,847765,10
300,7,3,847744,847716,4
300,8,1,847724,847738,16
300,9,5,847743,847733,11
300,10,3,847721,847770,15
300,11,4,847775,847743,16
300,12,4,847782,847723,12
300,13,3,847786,847756,11
300,14,4,847740,847803,14
300,15,4,847763,847774,17
300,16,4,847752,847721,15
300,17,5,847758,847750,8
300,18,3,847754,847738,16
300,19,4,847778,847749,16
300,20,5,847805,847747,16
300,21,5,847771,847771,12
300,22,3,847731,847740,16
300,23,4,847751,847725,13
300,24,4,847762,847747,17
300,25,4,847770,847782,16
300,26,5,847775,847716,15
300,27,4,847755,847764,15
300,28,4,847774,847789,16
300,29,4,847777,847777,16
300,30,5,847735,847770,11
300,31,4,847776,847733,16
300,32,4,847743,847764,16
300,33,4,847781,847749,10
300,34,4,847756,847745,15
300,35,4,847744,847731,10
300,36,3,847737,847727,16
300,37,5,847797,847740,14
300,38,4,847750,847741,13
300,39,4,847742,847724,3
